transaction_id,consumer_id,merchant_id,date,amount,category
1,1,101,2025-09-15,12.50,coffee
2,1,103,2025-09-18,85.00,dining
3,1,113,2025-09-20,420.00,travel
4,2,102,2025-09-16,299.99,electronics
5,2,104,2025-09-19,8.75,fast food
6,3,103,2025-09-17,125.00,dining
7,3,105,2025-09-21,180.00,wellness
8,4,101,2025-09-14,5.50,coffee
9,4,112,2025-09-22,59.99,gaming
10,5,105,2025-09-18,95.00,beauty
11,6,106,2025-09-15,22.00,books
12,6,101,2025-09-20,6.00,coffee
13,7,111,2025-09-16,75.00,fitness
14,7,103,2025-09-19,68.50,dining
15,8,108,2025-09-17,210.00,dining
16,9,109,2025-09-18,15.00,food trucks
17,10,110,2025-09-19,42.00,organic
18,11,111,2025-09-20,89.00,fitness
19,12,112,2025-09-21,119.99,gaming
20,13,113,2025-09-22,890.00,travel
21,14,114,2025-09-23,28.00,craft beer
22,15,115,2025-09-24,45.00,yoga
23,16,116,2025-09-25,195.00,dining
24,17,117,2025-09-26,32.50,theme parks
25,18,118,2025-09-27,60.00,history
26,19,119,2025-09-28,350.00,shows
27,20,120,2025-09-29,78.00,home
28,21,121,2025-09-30,95.00,music
29,22,122,2025-10-01,420.00,cars
30,23,123,2025-10-02,68.00,outdoor
31,24,124,2025-10-03,52.00,sports
32,25,125,2025-10-04,18.50,tex-mex
33,26,126,2025-10-05,145.00,art
34,27,127,2025-10-06,48.00,blues
35,28,128,2025-10-07,72.00,jazz
36,29,129,2025-10-08,38.00,beach
37,30,130,2025-10-09,210.00,surf
38,31,131,2025-10-10,22.00,chile
39,32,132,2025-10-11,68.00,bbq
40,33,133,2025-10-12,185.00,steak
41,34,134,2025-10-13,95.00,bourbon
42,35,135,2025-10-14,16.00,mexican
43,36,136,2025-10-15,32.00,beer
44,37,131,2025-10-16,24.00,chile
45,38,137,2025-10-17,58.00,farm
46,39,138,2025-10-18,98.00,farm-to-table
47,40,139,2025-10-19,320.00,desert
48,41,111,2025-10-20,82.00,fitness
49,42,129,2025-10-21,42.00,beach
50,43,123,2025-10-22,72.00,outdoor
51,44,102,2025-10-23,189.00,electronics
52,45,133,2025-10-24,210.00,steak
53,46,129,2025-10-25,45.00,beach
54,47,110,2025-10-26,48.00,organic
55,48,148,2025-10-27,65.00,climbing
56,49,149,2025-10-28,238.00,wine
57,50,150,2025-10-29,50.00,bazaar
58,51,136,2025-10-30,36.00,beer
59,52,137,2025-10-31,60.00,farm
60,53,103,2025-11-01,102.00,dining
61,54,136,2025-11-02,34.00,beer
62,55,137,2025-11-03,56.00,farm
63,56,110,2025-11-04,46.00,organic
64,57,123,2025-11-05,76.00,outdoor
65,58,138,2025-11-06,100.00,farm-to-table
66,59,116,2025-11-07,220.00,dining
67,60,101,2025-11-08,7.50,coffee
68,61,141,2025-11-09,70.00,finance
69,62,142,2025-11-10,475.00,wealth
70,63,143,2025-11-11,30.00,insurance
71,64,144,2025-11-12,75.00,ivy
72,65,145,2025-11-13,95.00,lowcountry
73,66,126,2025-11-14,140.00,art
74,67,146,2025-11-15,150.00,art
75,68,147,2025-11-16,205.00,art
76,69,148,2025-11-17,70.00,climbing
77,70,149,2025-11-18,250.00,wine
78,71,102,2025-11-19,195.00,electronics
79,72,144,2025-11-20,80.00,ivy
80,73,141,2025-11-21,300.00,academia
81,74,132,2025-11-22,75.00,bbq
82,75,133,2025-11-23,200.00,steak
83,76,110,2025-11-24,50.00,organic
84,77,123,2025-11-25,70.00,outdoor
85,78,126,2025-11-26,130.00,art
86,79,121,2025-11-27,100.00,music
87,80,145,2025-11-28,90.00,lowcountry
88,81,130,2025-11-29,200.00,surf
89,82,129,2025-11-30,40.00,beach
90,83,139,2025-12-01,305.00,desert
91,84,119,2025-12-02,370.00,shows
92,85,149,2025-12-03,245.00,wine
93,86,150,2025-12-04,48.00,bazaar
94,87,135,2025-12-05,17.00,mexican
95,88,150,2025-12-06,50.00,bazaar
96,89,150,2025-12-07,55.00,bazaar
97,90,130,2025-12-08,208.00,surf
98,91,121,2025-12-09,96.00,music
99,92,149,2025-12-10,240.00,wine
100,93,103,2025-12-11,100.00,dining